#FIXME: nie ma form deprecjacyjnych
ABB - +A(subst:$n:$c:$g)	ABBA(subst:$n:$c:$g)
UŚl - +ε(subst:$n:$c:$g)	UŚl(subst:$n:$c:$g)
UWM - +ε(subst:$n:$c:$g)	UWM(subst:$n:$c:$g)
UWr - +ε(subst:$n:$c:$g)	UWr(subst:$n:$c:$g)
VAT - +ε(subst:$n:$c:$g)	VAT(subst:$n:$c:$g)
VCR - +ε(subst:$n:$c:$g)	VCR(subst:$n:$c:$g)
VHF - +ε(subst:$n:$c:$g)	VHF(subst:$n:$c:$g)
VHS - +ε(subst:$n:$c:$g)	VHS(subst:$n:$c:$g)
VIP - +ε(subst:$n:$c:$g)	VIP(subst:$n:$c:$g)
WAN - +ε(subst:$n:$c:$g)	WAN(subst:$n:$c:$g)
WAP - +ε(subst:$n:$c:$g)	WAP(subst:$n:$c:$g)
WAT - +ε(subst:$n:$c:$g)	WAT(subst:$n:$c:$g)
WBZ - +ε(subst:$n:$c:$g)	WBZ(subst:$n:$c:$g)
WEP - +ε(subst:$n:$c:$g)	WEP(subst:$n:$c:$g)
wf - +ε(subst:$n:$c:$g)	wf(subst:$n:$c:$g)
WF - +ε(subst:$n:$c:$g)	WF(subst:$n:$c:$g)
WIG - +ε(subst:$n:$c:$g)	WIG(subst:$n:$c:$g)
WiN - +ε(subst:$n:$c:$g)	WiN(subst:$n:$c:$g)
WiP - +ε(subst:$n:$c:$g)	WiP(subst:$n:$c:$g)
WKR - +ε(subst:$n:$c:$g)	WKR(subst:$n:$c:$g)
WOP - +ε(subst:$n:$c:$g)	WOP(subst:$n:$c:$g)
WOPR - +ε(subst:$n:$c:$g)	WOPR(subst:$n:$c:$g)
WOŚP - +ε(subst:$n:$c:$g)	WOŚP(subst:$n:$c:$g)
WRN - +ε(subst:$n:$c:$g)	WRN(subst:$n:$c:$g)
WRON - +ε(subst:$n:$c:$g)	WRON(subst:$n:$c:$g)
WSiP - +ε(subst:$n:$c:$g)	WSiP(subst:$n:$c:$g)
WSM - +ε(subst:$n:$c:$g)	WSM(subst:$n:$c:$g)
XML - +ε(subst:$n:$c:$g)	XML(subst:$n:$c:$g)
XML - +ε(subst:$n:$c:$g)	XML(subst:$n:$c:$g)
ZAIKS - +ε(subst:$n:$c:$g)	ZAIKS(subst:$n:$c:$g)
ZASP - +ε(subst:$n:$c:$g)	ZASP(subst:$n:$c:$g)
ZBoWiD - +ε(subst:$n:$c:$g)	ZBoWiD(subst:$n:$c:$g)
ZBOWiD - +ε(subst:$n:$c:$g)	ZBOWiD(subst:$n:$c:$g)
ZChN - +ε(subst:$n:$c:$g)	ZChN(subst:$n:$c:$g)
ZMS - +ε(subst:$n:$c:$g)	ZMS(subst:$n:$c:$g)
ZOM - +ε(subst:$n:$c:$g)	ZOM(subst:$n:$c:$g)
ZOSP - +ε(subst:$n:$c:$g)	ZOSP(subst:$n:$c:$g)
ZOZ - +ε(subst:$n:$c:$g)	ZOZ(subst:$n:$c:$g)
ZS - +ε(subst:$n:$c:$g)	ZS(subst:$n:$c:$g)
ZSL - +ε(subst:$n:$c:$g)	ZSL(subst:$n:$c:$g)
ZSZ - +ε(subst:$n:$c:$g)	ZSZ(subst:$n:$c:$g)
ZUS - +ε(subst:$n:$c:$g)	ZUS(subst:$n:$c:$g)
ZWM - +ε(subst:$n:$c:$g)	ZWM(subst:$n:$c:$g)
ZWZ - +ε(subst:$n:$c:$g)	ZWZ(subst:$n:$c:$g)
ZZ - +ε(subst:$n:$c:$g)	ZZ(subst:$n:$c:$g)
ŻOB - +ε(subst:$n:$c:$g)	ŻOB(subst:$n:$c:$g)
cornflake ’ +s(subst:$n:$c:$g)	cornflakes(subst:$n:$c:$g)
Bradbury ’ +ε(subst:$n:$c:$g)	Bradbury(subst:$n:$c:$g)
Chomsky ’ +ε(subst:$n:$c:$g)	Chomsky(subst:$n:$c:$g)
Connery ’ +ε(subst:$n:$c:$g)	Connery(subst:$n:$c:$g)
Debussy ’ +ε(subst:$n:$c:$g)	Debussy(subst:$n:$c:$g)
Dolphy ’ +ε(subst:$n:$c:$g)	Dolphy(subst:$n:$c:$g)
Exupéry ’ +ε(subst:$n:$c:$g)	Exupéry(subst:$n:$c:$g)
Galsworthy ’ +ε(subst:$n:$c:$g)	Galsworthy(subst:$n:$c:$g)
Hardy ’ +ε(subst:$n:$c:$g)	Hardy(subst:$n:$c:$g)
Harry ’ +ε(subst:$n:$c:$g)	Harry(subst:$n:$c:$g)
Henry ’ +ε(subst:$n:$c:$g)	Henry(subst:$n:$c:$g)
Jarry ’ +ε(subst:$n:$c:$g)	Jarry(subst:$n:$c:$g)
Jimmy ’ +ε(subst:$n:$c:$g)	Jimmy(subst:$n:$c:$g)
Kandinsky ’ +ε(subst:$n:$c:$g)	Kandinsky(subst:$n:$c:$g)
Kennedy ’ +ε(subst:$n:$c:$g)	Kennedy(subst:$n:$c:$g)
Larry ’ +ε(subst:$n:$c:$g)	Larry(subst:$n:$c:$g)
MacCarthy ’ +ε(subst:$n:$c:$g)	MacCarthy(subst:$n:$c:$g)
Mercury ’ +ε(subst:$n:$c:$g)	Mercury(subst:$n:$c:$g)
Montgomery ’ +ε(subst:$n:$c:$g)	Montgomery(subst:$n:$c:$g)
Panofsky ’ +ε(subst:$n:$c:$g)	Panofsky(subst:$n:$c:$g)
Peguy ’ +ε(subst:$n:$c:$g)	Peguy(subst:$n:$c:$g)
Radetzky ’ +ε(subst:$n:$c:$g)	Radetzky(subst:$n:$c:$g)
Sotheby ’ +ε(subst:$n:$c:$g)	Sotheby(subst:$n:$c:$g)
Tracy ’ +ε(subst:$n:$c:$g)	Tracy(subst:$n:$c:$g)
Valéry ’ +ε(subst:$n:$c:$g)	Valéry(subst:$n:$c:$g)
Willy ’ +ε(subst:$n:$c:$g)	Willy(subst:$n:$c:$g)
Barrés ’ +ε(subst:$n:$c:$g)	Barrés(subst:$n:$c:$g)
Barrès ’ +ε(subst:$n:$c:$g)	Barrès(subst:$n:$c:$g)
Beaumarchais ’ +ε(subst:$n:$c:$g)	Beaumarchais(subst:$n:$c:$g)
Marchais ’ +ε(subst:$n:$c:$g)	Marchais(subst:$n:$c:$g)
Rabelais ’ +ε(subst:$n:$c:$g)	Rabelais(subst:$n:$c:$g)
Resnais ’ +ε(subst:$n:$c:$g)	Resnais(subst:$n:$c:$g)
Aldridge ’ +ε(subst:$n:$c:$g)	Aldridge(subst:$n:$c:$g)
allemande ’ +ε(subst:$n:$c:$g)	allemande(subst:$n:$c:$g)
Ampére ’ +ε(subst:$n:$c:$g)	Ampére(subst:$n:$c:$g)
anglaise ’ +ε(subst:$n:$c:$g)	anglaise(subst:$n:$c:$g)
Apollinaire ’ +ε(subst:$n:$c:$g)	Apollinaire(subst:$n:$c:$g)
Aristide ’ +ε(subst:$n:$c:$g)	Aristide(subst:$n:$c:$g)
assemblage ’ +ε(subst:$n:$c:$g)	assemblage(subst:$n:$c:$g)
Astaire ’ +ε(subst:$n:$c:$g)	Astaire(subst:$n:$c:$g)
Barthes ’ +ε(subst:$n:$c:$g)	Barthes(subst:$n:$c:$g)
Baudelaire ’ +ε(subst:$n:$c:$g)	Baudelaire(subst:$n:$c:$g)
beguine ’ +ε(subst:$n:$c:$g)	beguine(subst:$n:$c:$g)
Bellonte ’ +ε(subst:$n:$c:$g)	Bellonte(subst:$n:$c:$g)
Benveniste ’ +ε(subst:$n:$c:$g)	Benveniste(subst:$n:$c:$g)
Bernadotte ’ +ε(subst:$n:$c:$g)	Bernadotte(subst:$n:$c:$g)
Blake ’ +ε(subst:$n:$c:$g)	Blake(subst:$n:$c:$g)
Bourdelle ’ +ε(subst:$n:$c:$g)	Bourdelle(subst:$n:$c:$g)
boutique ’ +ε(subst:$n:$c:$g)	boutique(subst:$n:$c:$g)
Boyle ’ +ε(subst:$n:$c:$g)	Boyle(subst:$n:$c:$g)
Braille ’ +ε(subst:$n:$c:$g)	Braille(subst:$n:$c:$g)
branle ’ +ε(subst:$n:$c:$g)	branle(subst:$n:$c:$g)
Brantôme ’ +ε(subst:$n:$c:$g)	Brantôme(subst:$n:$c:$g)
Braque ’ +ε(subst:$n:$c:$g)	Braque(subst:$n:$c:$g)
breakdance ’ +ε(subst:$n:$c:$g)	breakdance(subst:$n:$c:$g)
Brooke ’ +ε(subst:$n:$c:$g)	Brooke(subst:$n:$c:$g)
Bruce ’ +ε(subst:$n:$c:$g)	Bruce(subst:$n:$c:$g)
brumaire ’ +ε(subst:$n:$c:$g)	brumaire(subst:$n:$c:$g)
Burne ’ +ε(subst:$n:$c:$g)	Burne(subst:$n:$c:$g)
Capote ’ +ε(subst:$n:$c:$g)	Capote(subst:$n:$c:$g)
cartridge ’ +ε(subst:$n:$c:$g)	cartridge(subst:$n:$c:$g)
Cezanne ’ +ε(subst:$n:$c:$g)	Cezanne(subst:$n:$c:$g)
Charles ’ +ε(subst:$n:$c:$g)	Charles(subst:$n:$c:$g)
chippendale ’ +ε(subst:$n:$c:$g)	chippendale(subst:$n:$c:$g)
chippendale ’ +ε(subst:$n:$c:$g)	chippendale(subst:$n:$c:$g)
Christophe ’ +ε(subst:$n:$c:$g)	Christophe(subst:$n:$c:$g)
Claude ’ +ε(subst:$n:$c:$g)	Claude(subst:$n:$c:$g)
collage ’ +ε(subst:$n:$c:$g)	collage(subst:$n:$c:$g)
college ’ +ε(subst:$n:$c:$g)	college(subst:$n:$c:$g)
collége ’ +ε(subst:$n:$c:$g)	collége(subst:$n:$c:$g)
Constable ’ +ε(subst:$n:$c:$g)	Constable(subst:$n:$c:$g)
Corneille ’ +ε(subst:$n:$c:$g)	Corneille(subst:$n:$c:$g)
Costes ’ +ε(subst:$n:$c:$g)	Costes(subst:$n:$c:$g)
courante ’ +ε(subst:$n:$c:$g)	courante(subst:$n:$c:$g)
Cruise ’ +ε(subst:$n:$c:$g)	Cruise(subst:$n:$c:$g)
Daguerre ’ +ε(subst:$n:$c:$g)	Daguerre(subst:$n:$c:$g)
Daisne ’ +ε(subst:$n:$c:$g)	Daisne(subst:$n:$c:$g)
Danone ’ +ε(subst:$n:$c:$g)	Danone(subst:$n:$c:$g)
deadline ’ +ε(subst:$n:$c:$g)	deadline(subst:$n:$c:$g)
decoupage ’ +ε(subst:$n:$c:$g)	decoupage(subst:$n:$c:$g)
Delavigne ’ +ε(subst:$n:$c:$g)	Delavigne(subst:$n:$c:$g)
Delerue ’ +ε(subst:$n:$c:$g)	Delerue(subst:$n:$c:$g)
Delibes ’ +ε(subst:$n:$c:$g)	Delibes(subst:$n:$c:$g)
Deneuve ’ +ε(subst:$n:$c:$g)	Deneuve(subst:$n:$c:$g)
Desargues ’ +ε(subst:$n:$c:$g)	Desargues(subst:$n:$c:$g)
Descartes ’ +ε(subst:$n:$c:$g)	Descartes(subst:$n:$c:$g)
dodge ’ +ε(subst:$n:$c:$g)	dodge(subst:$n:$c:$g)
Doumergue ’ +ε(subst:$n:$c:$g)	Doumergue(subst:$n:$c:$g)
Doyle ’ +ε(subst:$n:$c:$g)	Doyle(subst:$n:$c:$g)
Drake ’ +ε(subst:$n:$c:$g)	Drake(subst:$n:$c:$g)
drive ’ +ε(subst:$n:$c:$g)	drive(subst:$n:$c:$g)
empire ’ +ε(subst:$n:$c:$g)	empire(subst:$n:$c:$g)
ensemble ’ +ε(subst:$n:$c:$g)	ensemble(subst:$n:$c:$g)
entourage ’ +ε(subst:$n:$c:$g)	entourage(subst:$n:$c:$g)
Faure ’ +ε(subst:$n:$c:$g)	Faure(subst:$n:$c:$g)
Fayette ’ +ε(subst:$n:$c:$g)	Fayette(subst:$n:$c:$g)
Fontaine ’ +ε(subst:$n:$c:$g)	Fontaine(subst:$n:$c:$g)
Forsythe ’ +ε(subst:$n:$c:$g)	Forsythe(subst:$n:$c:$g)
France ’ +ε(subst:$n:$c:$g)	France(subst:$n:$c:$g)
freestyle ’ +ε(subst:$n:$c:$g)	freestyle(subst:$n:$c:$g)
freestyle ’ +ε(subst:$n:$c:$g)	freestyle(subst:$n:$c:$g)
frimaire ’ +ε(subst:$n:$c:$g)	frimaire(subst:$n:$c:$g)
Gable ’ +ε(subst:$n:$c:$g)	Gable(subst:$n:$c:$g)
Gaulle ’ +ε(subst:$n:$c:$g)	Gaulle(subst:$n:$c:$g)
Gennes ’ +ε(subst:$n:$c:$g)	Gennes(subst:$n:$c:$g)
genre ’ +ε(subst:$n:$c:$g)	genre(subst:$n:$c:$g)
George ’ +ε(subst:$n:$c:$g)	George(subst:$n:$c:$g)
Georges ’ +ε(subst:$n:$c:$g)	Georges(subst:$n:$c:$g)
Ghelderode ’ +ε(subst:$n:$c:$g)	Ghelderode(subst:$n:$c:$g)
Gide ’ +ε(subst:$n:$c:$g)	Gide(subst:$n:$c:$g)
Google ’ +ε(subst:$n:$c:$g)	Google(subst:$n:$c:$g)
Greenpeace ’ +ε(subst:$n:$c:$g)	Greenpeace(subst:$n:$c:$g)
grisaille ’ +ε(subst:$n:$c:$g)	grisaille(subst:$n:$c:$g)
grunge ’ +ε(subst:$n:$c:$g)	grunge(subst:$n:$c:$g)
guide ’ +ε(subst:$n:$c:$g)	guide(subst:$n:$c:$g)
hardcore ’ +ε(subst:$n:$c:$g)	hardcore(subst:$n:$c:$g)
hardware ’ +ε(subst:$n:$c:$g)	hardware(subst:$n:$c:$g)
hate ’ +ε(subst:$n:$c:$g)	hate(subst:$n:$c:$g)
high - life ’ +ε(subst:$n:$c:$g)	high-life(subst:$n:$c:$g)
house ’ +ε(subst:$n:$c:$g)	house(subst:$n:$c:$g)
Hubble ’ +ε(subst:$n:$c:$g)	Hubble(subst:$n:$c:$g)
image ’ +ε(subst:$n:$c:$g)	image(subst:$n:$c:$g)
Ingres ’ +ε(subst:$n:$c:$g)	Ingres(subst:$n:$c:$g)
interface ’ +ε(subst:$n:$c:$g)	interface(subst:$n:$c:$g)
iphone ’ +ε(subst:$n:$c:$g)	iphone(subst:$n:$c:$g)
iPhone ’ +ε(subst:$n:$c:$g)	iPhone(subst:$n:$c:$g)
iphone ’ +ε(subst:$n:$c:$g)	iphone(subst:$n:$c:$g)
iPhone ’ +ε(subst:$n:$c:$g)	iPhone(subst:$n:$c:$g)
Irvine ’ +ε(subst:$n:$c:$g)	Irvine(subst:$n:$c:$g)
Jacques ’ +ε(subst:$n:$c:$g)	Jacques(subst:$n:$c:$g)
Jaques ’ +ε(subst:$n:$c:$g)	Jaques(subst:$n:$c:$g)
Jarre ’ +ε(subst:$n:$c:$g)	Jarre(subst:$n:$c:$g)
Joule ’ +ε(subst:$n:$c:$g)	Joule(subst:$n:$c:$g)
joule ’ +ε(subst:$n:$c:$g)	joule(subst:$n:$c:$g)
Joyce ’ +ε(subst:$n:$c:$g)	Joyce(subst:$n:$c:$g)
Laine ’ +ε(subst:$n:$c:$g)	Laine(subst:$n:$c:$g)
Lamartine ’ +ε(subst:$n:$c:$g)	Lamartine(subst:$n:$c:$g)
Larousse ’ +ε(subst:$n:$c:$g)	Larousse(subst:$n:$c:$g)
Lawrence ’ +ε(subst:$n:$c:$g)	Lawrence(subst:$n:$c:$g)
Leconte ’ +ε(subst:$n:$c:$g)	Leconte(subst:$n:$c:$g)
Lefebvre ’ +ε(subst:$n:$c:$g)	Lefebvre(subst:$n:$c:$g)
Lisle ’ +ε(subst:$n:$c:$g)	Lisle(subst:$n:$c:$g)
Livingstone ’ +ε(subst:$n:$c:$g)	Livingstone(subst:$n:$c:$g)
Locke ’ +ε(subst:$n:$c:$g)	Locke(subst:$n:$c:$g)
Lumiere ’ +ε(subst:$n:$c:$g)	Lumiere(subst:$n:$c:$g)
Magritte ’ +ε(subst:$n:$c:$g)	Magritte(subst:$n:$c:$g)
mainframe ’ +ε(subst:$n:$c:$g)	mainframe(subst:$n:$c:$g)
manicure ’ +ε(subst:$n:$c:$g)	manicure(subst:$n:$c:$g)
Marlowe ’ +ε(subst:$n:$c:$g)	Marlowe(subst:$n:$c:$g)
Matisse ’ +ε(subst:$n:$c:$g)	Matisse(subst:$n:$c:$g)
Milne ’ +ε(subst:$n:$c:$g)	Milne(subst:$n:$c:$g)
Moliére ’ +ε(subst:$n:$c:$g)	Moliére(subst:$n:$c:$g)
Monroe ’ +ε(subst:$n:$c:$g)	Monroe(subst:$n:$c:$g)
Montaigne ’ +ε(subst:$n:$c:$g)	Montaigne(subst:$n:$c:$g)
Montmartre ’ +ε(subst:$n:$c:$g)	Montmartre(subst:$n:$c:$g)
Montparnasse ’ +ε(subst:$n:$c:$g)	Montparnasse(subst:$n:$c:$g)
Moore ’ +ε(subst:$n:$c:$g)	Moore(subst:$n:$c:$g)
Morse ’ +ε(subst:$n:$c:$g)	Morse(subst:$n:$c:$g)
Nightingale ’ +ε(subst:$n:$c:$g)	Nightingale(subst:$n:$c:$g)
offside ’ +ε(subst:$n:$c:$g)	offside(subst:$n:$c:$g)
pedicure ’ +ε(subst:$n:$c:$g)	pedicure(subst:$n:$c:$g)
penthouse ’ +ε(subst:$n:$c:$g)	penthouse(subst:$n:$c:$g)
performance ’ +ε(subst:$n:$c:$g)	performance(subst:$n:$c:$g)
Pierre ’ +ε(subst:$n:$c:$g)	Pierre(subst:$n:$c:$g)
quiche ’ +ε(subst:$n:$c:$g)	quiche(subst:$n:$c:$g)
Racine ’ +ε(subst:$n:$c:$g)	Racine(subst:$n:$c:$g)
ragtime ’ +ε(subst:$n:$c:$g)	ragtime(subst:$n:$c:$g)
Redgrave ’ +ε(subst:$n:$c:$g)	Redgrave(subst:$n:$c:$g)
regime ’ +ε(subst:$n:$c:$g)	regime(subst:$n:$c:$g)
remake ’ +ε(subst:$n:$c:$g)	remake(subst:$n:$c:$g)
Remarque ’ +ε(subst:$n:$c:$g)	Remarque(subst:$n:$c:$g)
Robespierre ’ +ε(subst:$n:$c:$g)	Robespierre(subst:$n:$c:$g)
rocaille ’ +ε(subst:$n:$c:$g)	rocaille(subst:$n:$c:$g)
rolls - royce ’ +ε(subst:$n:$c:$g)	rolls-royce(subst:$n:$c:$g)
Sade ’ +ε(subst:$n:$c:$g)	Sade(subst:$n:$c:$g)
Sartre ’ +ε(subst:$n:$c:$g)	Sartre(subst:$n:$c:$g)
Saussure ’ +ε(subst:$n:$c:$g)	Saussure(subst:$n:$c:$g)
savoir - vivre ’ +ε(subst:$n:$c:$g)	savoir-vivre(subst:$n:$c:$g)
scrabble ’ +ε(subst:$n:$c:$g)	scrabble(subst:$n:$c:$g)
scrabble ’ +ε(subst:$n:$c:$g)	scrabble(subst:$n:$c:$g)
Searle ’ +ε(subst:$n:$c:$g)	Searle(subst:$n:$c:$g)
Shakespeare ’ +ε(subst:$n:$c:$g)	Shakespeare(subst:$n:$c:$g)
siècle ’ +ε(subst:$n:$c:$g)	siècle(subst:$n:$c:$g)
software ’ +ε(subst:$n:$c:$g)	software(subst:$n:$c:$g)
Stone ’ +ε(subst:$n:$c:$g)	Stone(subst:$n:$c:$g)
Stowe ’ +ε(subst:$n:$c:$g)	Stowe(subst:$n:$c:$g)
strip - tease ’ +ε(subst:$n:$c:$g)	strip-tease(subst:$n:$c:$g)
Swinburne ’ +ε(subst:$n:$c:$g)	Swinburne(subst:$n:$c:$g)
Taine ’ +ε(subst:$n:$c:$g)	Taine(subst:$n:$c:$g)
Tate ’ +ε(subst:$n:$c:$g)	Tate(subst:$n:$c:$g)
timbre ’ +ε(subst:$n:$c:$g)	timbre(subst:$n:$c:$g)
tricorne ’ +ε(subst:$n:$c:$g)	tricorne(subst:$n:$c:$g)
unicode ’ +ε(subst:$n:$c:$g)	unicode(subst:$n:$c:$g)
Updike ’ +ε(subst:$n:$c:$g)	Updike(subst:$n:$c:$g)
upgrade ’ +ε(subst:$n:$c:$g)	upgrade(subst:$n:$c:$g)
Verlaine ’ +ε(subst:$n:$c:$g)	Verlaine(subst:$n:$c:$g)
Verne ’ +ε(subst:$n:$c:$g)	Verne(subst:$n:$c:$g)
Wallace ’ +ε(subst:$n:$c:$g)	Wallace(subst:$n:$c:$g)
Wayne ’ +ε(subst:$n:$c:$g)	Wayne(subst:$n:$c:$g)
White ’ +ε(subst:$n:$c:$g)	White(subst:$n:$c:$g)
Wilde ’ +ε(subst:$n:$c:$g)	Wilde(subst:$n:$c:$g)
AK - owski(adj:$n:$c:$g:pos)	AK-owski(adj:$n:$c:$g:pos)
AL - owski(adj:$n:$c:$g:pos)	AL-owski(adj:$n:$c:$g:pos)
anglo - amerykański(adj:$n:$c:$g:pos)	anglo-amerykański(adj:$n:$c:$g:pos)
austro - węgierski(adj:$n:$c:$g:pos)	austro-węgierski(adj:$n:$c:$g:pos)
e - learningowy(adj:$n:$c:$g:pos)	e-learningowy(adj:$n:$c:$g:pos)
e - mailowy(adj:$n:$c:$g:pos)	e-mailowy(adj:$n:$c:$g:pos)
grzbieto - brzuszny(adj:$n:$c:$g:pos)	grzbieto-brzuszny(adj:$n:$c:$g:pos)
GUS - owski(adj:$n:$c:$g:pos)	GUS-owski(adj:$n:$c:$g:pos)
hip - hopowy(adj:$n:$c:$g:pos)	hip-hopowy(adj:$n:$c:$g:pos)
jazz - rockowy(adj:$n:$c:$g:pos)	jazz-rockowy(adj:$n:$c:$g:pos)
KOR - owski(adj:$n:$c:$g:pos)	KOR-owski(adj:$n:$c:$g:pos)
NATO - wski(adj:$n:$c:$g:pos)	NATO-wski(adj:$n:$c:$g:pos)
newage ’ owy(adj:$n:$c:$g:pos)	newage’owy(adj:$n:$c:$g:pos)
nie - AK - owski(adj:$n:$c:$g:pos)	nie-AK-owski(adj:$n:$c:$g:pos)
nie - AL - owski(adj:$n:$c:$g:pos)	nie-AL-owski(adj:$n:$c:$g:pos)
nieanglo - amerykański(adj:$n:$c:$g:pos)	nieanglo-amerykański(adj:$n:$c:$g:pos)
nieaustro - węgierski(adj:$n:$c:$g:pos)	nieaustro-węgierski(adj:$n:$c:$g:pos)
niee - mailowy(adj:$n:$c:$g:pos)	niee-mailowy(adj:$n:$c:$g:pos)
niegrzbieto - brzuszny(adj:$n:$c:$g:pos)	niegrzbieto-brzuszny(adj:$n:$c:$g:pos)
nie - GUS - owski(adj:$n:$c:$g:pos)	nie-GUS-owski(adj:$n:$c:$g:pos)
niehip - hopowy(adj:$n:$c:$g:pos)	niehip-hopowy(adj:$n:$c:$g:pos)
niejazz - rockowy(adj:$n:$c:$g:pos)	niejazz-rockowy(adj:$n:$c:$g:pos)
nie - KOR - owski(adj:$n:$c:$g:pos)	nie-KOR-owski(adj:$n:$c:$g:pos)
nie - NATO - wski(adj:$n:$c:$g:pos)	nie-NATO-wski(adj:$n:$c:$g:pos)
nienewage ’ owy(adj:$n:$c:$g:pos)	nienewage’owy(adj:$n:$c:$g:pos)
nienon - ironowy(adj:$n:$c:$g:pos)	nienon-ironowy(adj:$n:$c:$g:pos)
nie - NRD - owski(adj:$n:$c:$g:pos)	nie-NRD-owski(adj:$n:$c:$g:pos)
nie - NRF - owski(adj:$n:$c:$g:pos)	nie-NRF-owski(adj:$n:$c:$g:pos)
nie - NSZ - owski(adj:$n:$c:$g:pos)	nie-NSZ-owski(adj:$n:$c:$g:pos)
nie - ONR - owski(adj:$n:$c:$g:pos)	nie-ONR-owski(adj:$n:$c:$g:pos)
nie - ONZ - owski(adj:$n:$c:$g:pos)	nie-ONZ-owski(adj:$n:$c:$g:pos)
nie - OPZZ - owski(adj:$n:$c:$g:pos)	nie-OPZZ-owski(adj:$n:$c:$g:pos)
nieosko - umbryjski(adj:$n:$c:$g:pos)	nieosko-umbryjski(adj:$n:$c:$g:pos)
nie - PAN - owski(adj:$n:$c:$g:pos)	nie-PAN-owski(adj:$n:$c:$g:pos)
nie - PAP - owski(adj:$n:$c:$g:pos)	nie-PAP-owski(adj:$n:$c:$g:pos)
nie - PAX - owski(adj:$n:$c:$g:pos)	nie-PAX-owski(adj:$n:$c:$g:pos)
nie - PGR - owski(adj:$n:$c:$g:pos)	nie-PGR-owski(adj:$n:$c:$g:pos)
nieping - pongowy(adj:$n:$c:$g:pos)	nieping-pongowy(adj:$n:$c:$g:pos)
nie - PiS - owski(adj:$n:$c:$g:pos)	nie-PiS-owski(adj:$n:$c:$g:pos)
nie - PIW - owski(adj:$n:$c:$g:pos)	nie-PIW-owski(adj:$n:$c:$g:pos)
niepop - artowski(adj:$n:$c:$g:pos)	niepop-artowski(adj:$n:$c:$g:pos)
niepółnoco - wschodni(adj:$n:$c:$g:pos)	niepółnoco-wschodni(adj:$n:$c:$g:pos)
niepółnoco - zachodni(adj:$n:$c:$g:pos)	niepółnoco-zachodni(adj:$n:$c:$g:pos)
nie - PPS - owski(adj:$n:$c:$g:pos)	nie-PPS-owski(adj:$n:$c:$g:pos)
nie - PRL - owski(adj:$n:$c:$g:pos)	nie-PRL-owski(adj:$n:$c:$g:pos)
nie - PSL - owski(adj:$n:$c:$g:pos)	nie-PSL-owski(adj:$n:$c:$g:pos)
nie - PTTK - owski(adj:$n:$c:$g:pos)	nie-PTTK-owski(adj:$n:$c:$g:pos)
nie - PWN - owski(adj:$n:$c:$g:pos)	nie-PWN-owski(adj:$n:$c:$g:pos)
nie - PZPR - owski(adj:$n:$c:$g:pos)	nie-PZPR-owski(adj:$n:$c:$g:pos)
nie - RFN - owski(adj:$n:$c:$g:pos)	nie-RFN-owski(adj:$n:$c:$g:pos)
nierock ’ n ’ rollowy(adj:$n:$c:$g:pos)	nierock’n’rollowy(adj:$n:$c:$g:pos)
nie - RWPG - owski(adj:$n:$c:$g:pos)	nie-RWPG-owski(adj:$n:$c:$g:pos)
niesaussure ’ owski(adj:$n:$c:$g:pos)	niesaussure’owski(adj:$n:$c:$g:pos)
niesemito - chamicki(adj:$n:$c:$g:pos)	niesemito-chamicki(adj:$n:$c:$g:pos)
nie - SLD - owski(adj:$n:$c:$g:pos)	nie-SLD-owski(adj:$n:$c:$g:pos)
niesoftware ’ owy(adj:$n:$c:$g:pos)	niesoftware’owy(adj:$n:$c:$g:pos)
niestaro - cerkiewno - słowiański(adj:$n:$c:$g:pos)	niestaro-cerkiewno-słowiański(adj:$n:$c:$g:pos)
nietien - szański(adj:$n:$c:$g:pos)	nietien-szański(adj:$n:$c:$g:pos)
nie - TPD - owski(adj:$n:$c:$g:pos)	nie-TPD-owski(adj:$n:$c:$g:pos)
nieuralo - ałtajski(adj:$n:$c:$g:pos)	nieuralo-ałtajski(adj:$n:$c:$g:pos)
nie - VAT - owski(adj:$n:$c:$g:pos)	nie-VAT-owski(adj:$n:$c:$g:pos)
nie - WAT - owski(adj:$n:$c:$g:pos)	nie-WAT-owski(adj:$n:$c:$g:pos)
nie - ZChN - owski(adj:$n:$c:$g:pos)	nie-ZChN-owski(adj:$n:$c:$g:pos)
nie - ZOMO - wski(adj:$n:$c:$g:pos)	nie-ZOMO-wski(adj:$n:$c:$g:pos)
non - ironowy(adj:$n:$c:$g:pos)	non-ironowy(adj:$n:$c:$g:pos)
NRD - owski(adj:$n:$c:$g:pos)	NRD-owski(adj:$n:$c:$g:pos)
NRF - owski(adj:$n:$c:$g:pos)	NRF-owski(adj:$n:$c:$g:pos)
NSZ - owski(adj:$n:$c:$g:pos)	NSZ-owski(adj:$n:$c:$g:pos)
ONR - owski(adj:$n:$c:$g:pos)	ONR-owski(adj:$n:$c:$g:pos)
ONZ - owski(adj:$n:$c:$g:pos)	ONZ-owski(adj:$n:$c:$g:pos)
OPZZ - owski(adj:$n:$c:$g:pos)	OPZZ-owski(adj:$n:$c:$g:pos)
osko - umbryjski(adj:$n:$c:$g:pos)	osko-umbryjski(adj:$n:$c:$g:pos)
PAN - owski(adj:$n:$c:$g:pos)	PAN-owski(adj:$n:$c:$g:pos)
PAP - owski(adj:$n:$c:$g:pos)	PAP-owski(adj:$n:$c:$g:pos)
