ARCOXIA<sup>®</sup> | 35852769	1 tabl. powl. zawiera 30 mg, 60 mg lub 90 mg etorykoksybu
Enap<sup>®</sup> H; -HL | 1085	1 tabl. zawiera 10 mg enalaprylu malenianu i 25 mg hydrochlorotiazydu lub 12,5 mg hydrochlorotiazydu.
Encortolon<sup>®</sup> | 1090	1 tabl. zawiera 5 mg prednizolonu oraz 82,6 mg laktozy jednowodnej - substancji pomocniczej biologicznie czynnej.
EndolucinBeta | 31968056	1 ml roztw. zawiera 40 GBq lutetu chlorku (<sup>177</sup>Lu) w czasie aktywności referencyjnej ART – (w określonym dniu i określonym czasie), odpowiadających 10 µg lutetu (<sup>177</sup>Lu) (w roztw. kwasu solnego).
Endoxan | 1094	1 fiol. zawiera: 200 mg lub 1000 mg cyklofosfamidu w postaci cyklofosfamidu jednowodnego w ilości 213,8 mg lub 1070 mg.
Enema<sup>®</sup> | 2450	1 ml roztw. zawiera disodu fosforan dwunastowodny, w przeliczeniu na substancję bezwodną 32,2 mg i sodu diwodorofosforan jednowodny, w przeliczeniu na substancję bezwodną 139 mg.
Entonox | 11144559	1 butla zawiera: podtlenek azotu (N<sub>2</sub>O, medyczny „gaz rozweselający”) 50 % v/v i tlen (O<sub>2</sub>, tlen medyczny) 50 % v/v pod ciśnieniem 138 lub 170 bar (15°C).
Entresto | 27669557	1 tabl. powl. zawiera 24,3 mg, 48,6 mg lub 97,2 mg sakubitrylu oraz 25,7 mg, 51,4 mg lub 102,8 mg walsartanu (w postaci kompleksu soli sodowych sakubitrylu i walsartanu).
Epiduo<sup>®</sup> Forte | 37005152	1 g żelu zawiera: 3 mg (0,3%) adapalenu oraz 25 mg (2,5%) benzoilu nadtlenku.
Episalvan | 31930746	1 g żelu zawiera: 100 mg wyciągu (suchego oczyszczonego) z kory brzozy<i> Betula pendula Roth</i>, <i>Betula pubescens Ehrh</i> oraz mieszaniny obu gatunków (równoważne 0,5-1,0 g kory brzozy), co odpowiada 72-88 mg betuliny.
Estalis<sup>®</sup> 50/140; -50/250 | 148028	1 system transdermalny zawiera 0,5 mg estradiolu półwodnego i 4,8 mg noretysteronu octanu, co zapewnia dostarczenie 50 µg estradiolu i 250 µg noretysteronu octanu/dobę z powierzchni 16 cm<sup>2</sup> lub 1 system transdermalny zawiera 0,6 mg estradiolu półwodnego i 2,7 mg noretysteronu octanu co zapewnia dostarczenie 50 µg estradiolu i 140 µg noretysteronu octanu na dobę z powierzchni 9 cm<sup>2</sup>.
Estradot<sup>®</sup> 37,5; -50; -75; -100 | 151858	System transdermalny o powierzchni 3,75, 5, 7,5 lub 10 cm<sup>2</sup> zawiera 0,585, 0,78, 1,17 lub 1,56 mg estradiolu o nominalnej szybkości uwalniania <i>in vivo</i>: 37,5, 50, 75 lub 100 µg estradiolu na dobę.
Euthyrox<sup>®</sup> N 25; -N 50; -N 75; -N 88 µg; -N 100; -N 112 µg; -N 125; -N 137 µg; -N 150; -N 175; -N 200 | 509736	1 tabl. zawiera 25, 50, 75, 88, 100, 112, 125, 137, 150, 175 lub 200 µg lewotyroksyny sodowej.
Euvax B<sup>®</sup> | 247595	1 dawka (0,5 ml) zawiera: 10 µg lub 20 µg antygenu powierzchniowego wirusa zapalenia wątroby typu B (HBsAg), 0,25 mg lub 0,5 mg Al<sup>3+ </sup>adsorbowany na wodorotlenku glinu, uwodnionym.
Eziclen | 22498630	Produkt leczniczy jest stężonym roztw. soli na bazie siarczanów, przeznaczonym do dalszego rozcieńczenia w wodzie przed podaniem. Jedno leczenie obejmuje przyjęcie zawartości 2 butelek. Zawartość każdej z butelek jest identyczna. Ilości substancji czynnych w 1 butelce (ok. 176 ml koncentratu - 195,375 g): 17,510 g sodu siarczan bezwodny; 3,276 g magnezu siarczan siedmiowodny; 3,130 g potasu siarczan. Całkowita zawartość elektrolitów jest następująca (1 butelka): 5,684 g sód (pochodzący z siarczanu sodu - substancji czynnej oraz sodu benzoesanu -nośnika); 1,405 g potas; 0,323 g magnez; 14,845 g siarczany.
FANHDI | 11144707	Proszek do wstrzykiwań i infuzji w fiolkach zawierających nominalnie 250 j.m., 500 j.m. lub 1000 j.m. ludzkiego VIII czynnika krzepnięcia krwi (FVIII) i odpowiednio 300, 600 lub 1200 j.m. ludzkiego czynnika von Willebranda (VWF).
Feiba Tim 4 Immuno | 1176	Aktywność preparatu jest zawsze podana na opakowaniu. 1 j. odpowiada ilości aktywowanego kompleksu protrombiny, który w przypadku obecności inhibitora czynnika VIII lub niedoboru tego czynnika skoryguje czas częściowej tromboplastyny do 35 sekund.
Femoston<sup>®</sup> - (IR); Femoston<sup>®</sup>; -mite | 1190; 37357434	1 tabl. ceglastoczerwona zawiera 2 mg 17&beta;-estradiolu (w postaci estradiolu półwodnego) i 1 tabl. żółta zawiera 2 mg 17&beta;-estradiolu (w postaci estradiolu półwodnego) i 10 mg dydrogesteronu. 1 tabl. biała zawiera 1 mg 17&beta;-estradiolu (w postaci estradiolu półwodnego) i 1 tabl. szara zawiera 1 mg 17&beta;-estradiolu (w postaci estradiolu półwodnego) i 10 mg dydrogesteronu.
Femoston<sup>®</sup> conti | 5392	1 tabl. zawiera 1 mg 17&beta;-estradiolu (w postaci estradiolu półwodnego) i 5 mg dydrogesteronu.
Femoston<sup>®</sup> mini | 10970646	1tabl. zawiera 0,5 mg 17&beta;-estradiolu w postaci estradiolu półwodnego i 2,5 mg dydrogesteronu.
Fenta MX 25; -50; -75; -100 | 39107916	Każdy system transdermalny, plaster o powierzchni wchłaniania 10,5 cm<sup>2</sup>, 21 cm<sup>2</sup>, 31,5 cm<sup>2</sup> lub 42 cm<sup>2</sup>, zawiera 5,78 mg, 11,56 mg, 17,34 mg lub 23,12 mg, fentanylu, co odpowiada szybkości uwalniania fentanylu 25 µg/h, 50 µg/h, 75 µg/h lub 100 µg/h.
Ferrum-Lek<sup>®</sup> | 1208	1 ml syropu zawiera 10 mg żelaza w postaci kompleksu wodorotlenku żelaza (III) z polimaltozą. 1 tabl. do rozgryzania i żucia zawiera 100 mg żelaza w postaci kompleksu wodorotlenku żelaza (III) z polimaltozą.
Flebogamma DIF | 10583301	1 ml roztworu zawiera 50 mg lub 100 mg immunoglobuliny ludzkiej normalnej (IVIg), której co najmniej 97% stanowi IgG.
Flixotide<sup>®</sup>; -Dysk | 1230	1 dawka aerozolu zawiera 50 µg, 100 µg, 250 µg lub 500 µg, propionianu flutikazonu. 1 pojemnik (2 ml) zawiesiny do inhalacji z nebulizatora zawiera 0,5 mg lub 2 mg mikronizowanego propionianu flutikazonu.
Fluenz Tetra | 24029757	1 dawka (0,2) zawiera reasortant wirusa grypy (żywy atenuowany), namnażany w zapłodnionych jajach kurzych pochodzących od zdrowych stad kurzych, następujących 4 szczepów (wytwarzane w komórkach VERO odwrotną techniką genetyczną - produkt ten zawiera organizmy modyfikowane genetycznie, ang. GMO): 10<sup>7,0±0,5</sup> FFU A/California/7/2009 (H1N1) pdm09- szczep podobny (A/Bolivia/559/2013, MEDI 255962); 10<sup>7,0±0,5</sup> FFU A/Switzerland/9715293/2013 (H3N2)- szczep podobny (A/Switzerland/9715293/2013, MEDI 252385); 10<sup>7,0±0,5</sup> FFU B/Brisbane/60/2008 (z linii Victoria) - szczep podobny (B/Brisbane/60/2008, MEDI 228030); 10<sup>7,0±0,5</sup> FFU B/Phuket/3073/2013 (z linii Yamagata) - szczep podobny (B/Phuket/3073/2013, MEDI 254977). Szczepionka ta jest zgodna z zaleceniami WHO (dla półkuli północnej) i decyzją UE dla sezonu 2015/2016. Szczepionka może zawierać pozostałości następujących substancji: białek jaja kurzego (np. Albuminy jaja kurzego) i gentamycyny. Maks. ilość albuminy jaja kurzego jest mniejsza niż 0,24 µg na 0,2 ml dawkę (1,2 µg na ml).
Fragmin<sup>®</sup> | 1272	1 amp.-strzyk. (0,2 ml) zawiera 2500 lub 5000 j.m. (anty-Xa) soli sodowej dalteparyny. 1 amp.-strzyk. (0,1 lub 0,4 ml) zawiera 10000 j.m. (anty-Xa) soli sodowej dalteparyny.
Fraxiparine<sup>®</sup> Multi | 9071168	1 ml produktu leczniczego zawiera 9 500 j. m. AXa nadroparyny wapniowej.1 fiolka 15 ml zawiera 142 500 lub 47 500 j.m. AXa nadroparyny wapniowej.
Fraxodi<sup>®</sup> | 1274	1 ampułko-strzykawka 0,6, 0,8 lub 1 ml zawiera 11 400, 15 200 lub 19 000 j.m. AXa nadroparyny wapniowej.
Fucibet Lipid | 27513321	Kwas fusydynowy 20 mg/g i betametazonu walerianian 1 mg/g.
Furosemidum Polfarmex | 1292	1 tabl. zawiera 40 mg furosemidu oraz substancje pomocnicze, w tym laktozę jednowodną - 27,5 mg.
Fusicutan plus | 35692614	1 g kremu zawiera 20 mg kwasu fusydynowego, w postaci kwasu fusydynowego półwodnego (20,4 mg) oraz 1 mg betametazonu, w postaci betametazonu walerianianu (1,214 mg).
Gammagard<sup>®</sup> S/D | 1304	Lek występuje w postaci proszku i rozpuszczalnika do sporządzania roztw. do infuzji, zawierającego 5 g; 10, g normalnej ludzkiej immunoglobuliny (IVIg) na fiolkę, w tym co najmniej 90% białka stanowi immunoglobulina G (IgG). Skład podklas IgG: IgG1  &ge;56,9%, IgG2  &ge;16,0%, IgG3  &ge;3,3%, IgG4  &ge;0,3%. Maksymalna zawartość immunoglobuliny A (IgA): nie więcej niż 3 µg na ml w 5% roztworze. Produkt leczniczy wytwarzany z ludzkiego osocza dawców.
Geloplasma | 11145067	Żelatyna w postaci zmodyfikowanej płynnej żelatyny (częściowo zhydrolizowana i sukcynylowana) ilość wyrażona jako żelatyna bezwodna 3,0000 g, sodu chlorek 0,5382 g, magnezu chlorek sześciowodny 0,0305 g, potasu chlorek 0,0373 g, sodu (S)-mleczan, roztwór ilość wyrażona jako sodu (S)-mleczan 0,3360 g w 100 ml roztworu do infuzji.
Gensulin M30; -M40; -M50 | 1337	1 ml zawiesiny zawiera 100 j.m. ludzkiej insuliny dwufazowej otrzymywanej metodą rekombinacji DNA <i>E.coli</i>. 1 fiolka Gensulin M30 (30/70) zawiera 10 ml zawiesiny, co odpowiada 1000 j.m. insuliny dwufazowej w proporcjach 30% insuliny rozpuszczalnej i 70% insuliny izofanowej. Wkład do wstrzykiwacza Gensulin M30 (30/70) zawiera 3 ml zawiesiny, co odpowiada 300 j.m. insuliny dwufazowej w proporcjach 30% insuliny rozpuszczalnej i 70% insuliny izofanowej. Wkład do wstrzykiwacza Gensulin M40 (40/60) zawiera 3 ml zawiesiny, co odpowiada 300 j.m. insuliny dwufazowej w proporcjach 40% insuliny rozpuszczalnej i 60% insuliny izofanowej. Wkład do wstrzykiwacza Gensulin M50 (50/50) zawiera 3 ml zawiesiny, co odpowiada 300 j.m. insuliny dwufazowej w proporcjach 50% insuliny rozpuszczalnej i 50% insuliny izofanowej.
Glibenese; -GITS<sup>®</sup> | 1368	1 tabl. zawiera 5 mg lub 10 mg glipizydu
Glitoprel | 11145190	1 tabl. zawiera substancję czynną 1 mg, 2 mg, 3 mg lub 4 mg glimepirydu.
Gluscan PL | 11145268	1 ml zawiera fluorodeoksyglukozy (<sup>18</sup>F) o aktywności 500 MBq w dniu i godzinie kalibracji.
Groprinosin<sup>®</sup> Baby | 28331537	1 ml syropu zawiera 50 mg inozyny pranobeks: kompleksu zawierającego inozynę oraz 4-acetamidobenzoesan 2-hydroksypropylodimetyloamoniowy w stosunku molarnym 1:3.
Gynoflor | 4322267	1 tabl. dopochwowa 50 µg liofilizatu bakterii kwasu mlekowego i 30 µg estriolu.
HBvaxPRO<sup>®</sup> | 1448	1 dawka (0,5 ml) zawiera: 5 µg antygenu powierzchniowego wirusa zapalenia wątroby typu B, rekombinowanego (HBsAg), (0,25 mg Al<sup>+</sup>) adsorbowany na amorficznym hydroksyfosforanosiarczanie glinu. 1 dawka (1 ml) zawiera: 10 µg lub 40 µg antygenu powierzchniowego wirusa zapalenia wątroby typu B, rekombinowanego (HBsAg), (0,50 mg Al<sup>+</sup>) adsorbowany na amorficznym hydroksyfosforanosiarczanie glinu.
Herceptin<sup>®</sup> | 1485	1 fiolka (15 ml) zawiera 150 mg trastuzumabu, humanizowanego przeciwciała monoklonalnego IgG1 produkowanego w zawiesinie kultur komórkowych ssaków (jajnika chomika chińskiego) i oczyszczanego metodą chromatografii powinowactwa i chromatografii jonowymiennej włączając specyficzną inaktywacje wirusów i procedury usuwania.
Hiconcil combi | 37615267	5 ml zawiesiny zawiera 400 mg amoksycyliny (amoksycylina trójwodna) i 57 mg kwasu klawulanowego (jako potasu klawulanian). 1 ml zawiesiny zawiera 80 mg amoksycyliny (amoksycylina trójwodna) i 11,4 mg kwasu klawulanowego (jako potasu klawulanian). 1 tabl. powl. zawiera 500 mg lub 875 mg amoksycyliny (amoksycylina trójwodna) i 125 mg kwasu klawulanowego (jako potasu klawulanian).
Hitoff | 10962790	1 tabl. zawiera 0,088 mg, 0,18 mg, 0,35 mg lub 0,7 mg pramipeksolu zasady - w postaci 0,125 mg, 0,25 mg, 0,5 mg lub 1 mg pramipeksolu dichlorowodorku jednowodnego.
Human Albumin 200 g/l; -250 g/l | 11145491	Lek jest roztworem zawierającym 200 g/l lub 250 g/l białka całkowitego, z którego co najmniej 95% stanowi albumina ludzka.
Humulin<sup>®</sup> M3 (30/70) | 1520	1 ml leku zawiera 100 j.m. ludzkiej insuliny otrzymywanej metodą rekombinacji DNA <i>E.coli</i>. Jeden wkład do wstrzykiwacza zawiera 3 ml zawiesiny, co odpowiada 300 j.m. insuliny dwufazowej w proporcjach 30% insuliny rozpuszczalnej i 70% insuliny izofanowej.
Hycamtin<sup>®</sup> | 1528	1 fiol. zawiera 1 mg lub 4 mg topotekanu (w postaci chlorowodorku) z 10% nadmiarem technologicznym.
Imovax Polio | 1566	1 dawka (0,5 ml) zawiera 40 j. antygenu inaktywowanego wirusa <i>poliomyelitis</i> typ 1 (szczep Mahoney), 8 j. antygenu inaktywowanego wirusa <i>poliomyelitis</i> typ 2 (szczep MEF-1) i 32 j. antygenu inaktywowanego wirusa <i>poliomyelitis</i> typ 3 (szczep Saukett). Szczepionka jest zgodna z wymaganiami Farmakopei Europejskiej i rekomendacjami WHO (TRS 673, 1982).
Implanon NXT | 11145660	1 nieprzepuszczający promieni rentgenowskich implant podskórny zawiera 68 mg, współczynnik uwalniania wynosi od 60-70 µg/dobę w tygodniu 5-6 i zmniejsza się do około 35-45 µg/dobę pod koniec pierwszego roku, a następnie do około 30-40 µg/dobę pod koniec drugiego roku i do około 25 do 30 µg/dobę pod koniec trzeciego roku. Aplikator zaprojektowano tak, aby można go było używać jedną ręką oraz w celu ułatwienia poprawnego podskórnego podawania implantu.
Indix Combi | 21720134	1 tabl. powl. zawiera 1,7 mg lub 3,4 mg peryndoprylu, co odpowiada 2,5 lub 5 mg peryndoprylu tozylanu, przeliczone in situ na peryndopryl sodu oraz 0,625 lub 1,25 mg indapamidu.
Influvac 2018/2019 | 5982	Antygeny powierzchniowe wirusa grypy (inaktywowane) (hemaglutynina i neuraminidaza) odpowiadające następującym szczepom: A/California/7/2009 (H<sub>1</sub>N<sub>1</sub>) - pochodny, zastosowany reasortant NYMC X-181 - 15 µg HA; A/Perth/16/2009 (H<sub>3</sub>N<sub>2</sub>) - podobny, zastosowany reasortant NYMC X-187 pochodzący z: A/Victoria/210/2009 - 15 µg HA; B/Brisbane/60/2008 - 15 µ HA w dawce 0,5 ml. Namnażane w zarodkach kurzych pochodzących ze zdrowych stad. Szczepionka ta jest zgodna z zaleceniami Światowej Organizacji Zdrowia (ang.WHO) (dla półkuli północnej) i zaleceniami UE na sezon 2018/2019.
Influvac Tetra 2018/2019 | 39710719	Antygeny powierzchniowe wirusa grypy (inaktywowane) (hemaglutynina i neuraminidaza) odpowiadające następującym szczepom: A/Michigan/45/2015 (H1N1)pdm09-podobny szczep (A/Singapore/GP1908/2015, IVR-180) -15 µ HA; A/Singapore/INFIMH-16-0019/2016 (H3N2)-podobny szczep (A/Singapore/INFIMH-16-0019/2016, NIB-104) -15 µ HA; B/Colorado/06/2017 (z linii B/Victoria/2/87)- podobny szczep (B/Maryland/15/2016, NYMC BX-69A) - 15 µ HA; B/Phuket/3073/2013 (z linii B/Yamagata/16/88)-podobny szczep (B/Phuket/3073/2013, typ dziki) - 15 µ HA; w dawce 0,5 ml. Namnażane w zarodkach kurzych pochodzących ze zdrowych stad. Szczepionka ta jest zgodna z zaleceniami Światowej Organizacji Zdrowia (ang.WHO) (dla półkuli północnej) i zaleceniami UE na sezon 2018/2019.
Intralipid<sup>®</sup> 10%; 20% | 1623	1000 ml 10%, 20% lub 30% preparatu zawiera 100 g, 200 g lub 300 g oczyszczonego oleju sojowego. Wartość energetyczna 1000 ml wynosi odpowiednio: 4600 kJ (1100 kcal), 8400 kJ (2000 kcal), 12600 kJ (3000 kcal). Osmolalność wynosi odpowiednio: 300 mOsm/kg H<sub>2</sub>O, 350 mOsm/kg H<sub>2</sub>O, 310 mOsm/kg H<sub>2</sub>O; pH wynosi około 8.
Iprixon Neb | 38032515	1 amp. 2,5 ml zawiera 0,5 mg ipratropiowego bromku (w postaci ipratropiowego bromku jednowodnego) i 2,5 mg salbutamolu (w postaci salbutamolu siarczanu), jako dawka pojedyncza.
Iruxol<sup>®</sup> Mono | 1633	1 g maści zawiera 0,52 mg-3,75 mg kolagenazy N, o aktywności klostrydiopeptydazy A nie mniejszej niż 1,2 j., oraz nie mniej niż 0,24 j. proteaz towarzyszących.
Isoprinosine | 13171079	1 tabl. zawiera 500 mg inozyny pranobeksu: kompleksu zawierającego inozynę oraz 4-acetamidobenzoesan 2-hydroksypropylodimetyloamoniowy w stosunku molarnym 1:3.
Kabiven Peripheral | 11145813	Glukoza 11%, aminokwasy i elektrolity, emulsja tłuszczowa.
Kabiven<sup>™</sup> | 1661	Pojemnik trzykomorowy zawierający w oddzielnych komorach roztwór glukozy, aminokwasów z elektrolitami i emulsję tłuszczową. 1000 ml mieszaniny otrzymanej po połączeniu zawartości komór zawiera: 39 g oczyszczonego oleju sojowego, 97 g glukozy, 4,7 g L-alaniny, 3,3 g L-argininy, 1 g kwasu L-asparginowego, 1,6 g kwasu L-glutaminowego, 2,3 g glicyny, 2 g L-histydyny, 1,6 g L-izoleucyny, 2,3 g L-leucyny, 2,6 g L-lizyny, 1,6 g L-metioniny, 2,3 g L-fenyloalaniny, 2 g L-proliny, 1,3 g L-seryny, 1,6 g L-treoniny, 0,53 g L-tryptofanu, 0,06 g L-tyrozyny, 2,1 g L-waliny oraz 1,49 g glicerofosforanu sodu, 0,21 g chlorku wapnia, 1,7 g chlorku potasu, 0,47 g siarczanu magnezu, 1,4 g octanu sodu. Wartość energetyczna: około 917 kcal. Zawartość azotu: 5,3 g. Osmolalność: około 1230 mOsm/kg H<sub>2</sub>O, osmolarność: około 1060 mOsm/l, pH około 5,6.
Kadcyla | 24034083	Fiolka jednorazowego użytku zawiera 100 mg proszku do sporządzenia 5 ml koncentratu roztworu trastuzumabu emtanzyny o stężeniu 20 mg/ml do infuzji po rozpuszczeniu. Fiolka jednorazowego użytku zawiera 160 mg proszku do sporządzenia 8 ml koncentratu roztworu trastuzumabu emtanzyny o stężeniu 20 mg/ml do infuzji po rozpuszczeniu.
Kalinox | 11607921	1 butla zawiera 50% podtlenku azotu i 50% tlenu (pod ciśnieniem 170 bar w temperaturze 15°C).
Kanjinti | 39161926	1 fiol. zawiera 150 mg lub 420 mg trastuzumabu, humanizowanego przeciwciała monoklonalnego IgG1 produkowanego w zawiesinie kultur komórkowych ssaków (jajnika chomika chińskiego) i oczyszczanego metodą chromatografii powinowactwa i chromatografii jonowymiennej, włączając specyficzną inaktywację wirusów i procedury usuwania.
Kineret | 10663140	1 amp.-strzyk. lub 1 fiolka zawiera 100 mg substancji anakinra  na 0,67 ml (150 mg/ml). Anakinara - antagonista ludzkich receptorów interleukiny-1 (r-metHuIL-1ra), wytwarzany w komórkach<i> Escherichia coli</i> za pomocą techniki rekombinacji DNA.
Kisplyx | 33155921	1 kaps. twarda zawiera 4 mg lub 10 mg of lenwatynibu (w postaci mezylanu).
Kogenate Bayer | 13302016	1 fiolka zawiera nominalnie 250 j.m., 500 j.m., 1000 j.m., 2000 j.m. lub 3000 j.m. ludzkiego czynnika krzepnięcia VIII (oktokog alfa). 1 ml produktu zawiera około 100 j.m., 200 j.m., 400 j.m. lub 600 j.m. (250 ml/2,5 ml, 500 ml/2,5 ml, 1000 ml/2,5 ml, 2000 ml/5,0 lub 3000 ml/5,0 ml) ludzkiego czynnika krzepnięcia VIII (oktokog alfa) po rozpuszczeniu. Aktywność (w j.m.) została określona przy użyciu jednostopniowego testu krzepnięcia, wobec wzorca Mega FDA, który został skalibrowany w jednostkach międzynarodowych (j.m.) w oparciu o wzorzec WHO. Aktywność swoista produktu wynosi około 4000 j.m./mg białka. Rozpuszczalnik: woda do wstrzykiwań. Ludzki czynnik krzepnięcia VIII jest wytwarzany metodą rekombinacji DNA (rDNA) w komórkach nerki młodych chomików, zawierających gen ludzkiego czynnika VIII.
Lapixen | 26275561	1 tabl. zawiera 2 mg, 4mg, 6mg lacydypiny oraz  substancje pomocnicza 137 mg, 274 mg, 411 mg.
Latuda | 24034434	1 tabl. powl. zawiera 18,5 mg, 37 mg lub chlorowodorku lurazydonu.
Lescol<sup>®</sup>; -XL | 1771	1 kaps. zawiera 21,06 mg lub 42,12 mg  fluwastatyny sodowej, co odpowiada 20 mg lub 40 mg fluwastatyny w postaci wolnego kwasu. 1 tabl. o przedłużonym uwalnianiu zawiera 84,24 mg soli sodowej fluwastatyny, co odpowiada 80 mg fluwastatyny w postaci wolnego kwasu.
Levalox | 28502719	1 tabl. powl. zawiera 250 lub 500 mg lewofloksacyny (<i>Levofloxacinum</i>) w postaci lewofloksacyny półwodnej.
Levofloxacin Genoptim | 26280009	1 tabl. powl. zawiera 250 mg lub 500 mg lewofloksacyny jako substancję czynną, co odpowiada 256,23 mg lub 512,46 mg lewofloksacyny półwodnej.
Lipancrea<sup>®</sup> 8 000; -16 000 | 36228985	1 kaps. zawiera pankreatynę z trzustki wieprzowej o aktywności: 8 000 j. Ph. Eur. lub 16 000 j. Ph. Eur. lipazy, 5 750 j. Ph. Eur. lub 11 500 j. Ph. Eur. amylazy, 450 j. Ph. Eur. lub 900 j. Ph. Eur. proteaz (1 j. Ph. Eur. = 1 j. FIP).
Locoid<sup>®</sup>; -Crelo<sup>®</sup>; -Lipocream<sup>®</sup> | 1817	1 g kremu, emulsji lub 1 ml roztworu zawiera 1 mg 17-maślanu hydrokortyzonu.
Lorista<sup>®</sup>; Lorista<sup>®</sup> - (IR) | 1833; 32342903	1 tabl. powl. zawiera 50 mg lub 100 mg soli potasowej losartanu.
Losartan + HCT Genoptim | 36998611	1 tabl. produktu leczniczego zawiera 50 mg lub 100 mg losartanu potasowego i 12,5 mg lub 25 mg hydrochlorotiazydu (HCT).
Madopar<sup>®</sup> 62,5; -125; -250; HBS | 6547	1 tabl., tabl. do sporządzania zawiesiny doustnej lub kaps. zawiera 50 mg, 100 mg lub 200 mg lewodopy i 12,5 mg, 25 mg lub 50 mg benzerazydu (w stosunku 4:1).
Maxitrol<sup>®</sup>; Maxitrol<sup>®</sup> - (IR); Maxitrol<sup>®</sup> - (IR) | 1929; 37449879; 37598248	1 ml kropli lub 1 g maści zawiera 1 mg deksametazonu, 3500 j.m. siarczanu neomycyny, 6000 j.m. siarczanu polimyksyny B. Substancje pomocnicze: (krople) sodowy chlorek, polisorbat 20, benzalkoniowy chlorek, hydroksypropylometyloceluloza (4000 mPa.s), stężony kwas solny i/lub sodu wodorotlenek do odpowiedniego pH, woda oczyszczona; (maść) hydroksybenzoesan metylu, hydroksybenzoesan propylu, lanolina płynna bezwodna, wazelina biała.
Melodyn | 25409708	Nominalna szybkość uwalniania: 35 &mu;g, 52,5 &mu;g lub 70 &mu;g buprenorfiny na godzinę.
Memotropil<sup>®</sup> 20% | 373207	1 amp. 5 ml lub 15 ml zawiera 1 g lub 3 g piracetamu (200 mg/ml).
Menogon | 11147072	1 ampułka z proszkiem zawiera menotropinę (ludzką gonadotropinę menopauzalną, HMG) w ilości odpowiadającej 75 j.m. FSH i 75 j.m. LH.
Menopur<sup>®</sup> | 90761	1 fiolka z proszkiem zawiera wysoko oczyszczoną menotropinę (ludzką gonadotropinę menopauzalną, hMG) w ilości odpowiadającej 75 IU FSH, 600 IU FSH oraz 1200 IU FSH (hormon folikulotropowy) i 75 IU LH, 600 IU LH oraz 1200 IU LH (hormon luteinizujący).
Mensinorm | 28524230	1 fiol. liofilizowanego produktu leczniczego zawiera 75 j.m. 150 j.m. ludzkiego hormonu folikulotropowego (ang. follicle stimulating hormone, FSH) i 75 j.m. lub 150 j.m. ludzkiego hormonu luteinizującego (ang. luteinising hormone, LH).
Merional | 24689273	1 fiol. zawiera 75 j.m. menotropiny (liMG, ludzka gonadotropina menopauzalna), co odpowiada 75 j.m. FSH i 75 j.m. LH.
Metoclopramidum Polpharma | 156179	1 tabl. zawiera 10 mg chlorowodorku metoklopramidu oraz 50 mg laktozy (substancji pomocniczej o znanym działaniu).
Metoprolol Biofarm ZK | 12205014	1 tabl. o przedłużonym uwalnianiu zawiera 23,75 mg, 47,5 mg, lub 95 mg metoprololu bursztynianu, co odpowiada 25 mg, 50 mg, lub 100 mg metoprololu winianu.
Miacalcic<sup>®</sup> | 2009	1 ml roztw. zawiera 50 j.m. lub 100 j.m. syntetycznej kalcytoniny łososiowej.
MicardisPlus | 3613237	1 tabl. zawiera 80 mg telmisartanu i 12, 5 mg lub 25 mg hydrochlorotiazydu.
Monural | 2061	1 sasz. zawiera 2 g lub 3 g fosfomycyny w postaci 3,754 g lub 5,631 g  fosfomycyny z trometamolem.
Multimel N4-550E; Multimel N5-800E; Multimel N6-900E; Multimel N7-1000E | 11147429; 11147433; 11147437; 11147441	Preparat pakowany jest w trójkomorowe worki. 1000 ml zawiera 200 ml emulsji tłuszczowej, 400 ml roztworu aminokwasów i 400 ml roztworu glukozy.
NANOCOLL | 11147560	1 fiol. zawiera 0,5 mg cząstki koloidu ludzkich albumin osocza krwi. Zakres wielkości cząstek koloidu: przynajmniej 95% o wielkości &le;80 nm. Preparat jest przygotowany z albumin osocza ludzkiego, uzyskanych od dawców krwi i przebadanych według norm EEC na obecność: antygenu powierzchniowego wirusa zapalenia wątroby typu B (HBsAg), przeciwciał przeciw ludzkiemu wirusowi niedoboru odporności (anty HIV 1/2), przeciwciał przeciw wirusowi zapalenia wątroby typu C (anty HCV), z wynikami ujemnymi.
Naklofen<sup>®</sup> Duo | 2105	1 kaps. zawiera 75 mg dikofenaku sodowego (25 mg w postaci peletek dojelitowych i 50 mg w postaci peletek dojelitowych o przedłużonym uwalnianiu).
Namaxir | 31094674	1 amp.-strzyk. o pojemności 0,33 ml zawiera 7,5, 10, 15, 20, 25 lub 30 mg metotreksatu.
Nebilet<sup>®</sup> | 2138	1 tabl. zawiera 5 mg nebiwololu (w postaci nebiwololu chlorowodorku): 2,5 mg SRRR-nebiwololu (lub d-nebiwololu) i 2,5 mg RSSS-nebiwololu (lub l-nebiwololu).
Nebilet<sup>®</sup> HCT | 9933742	1 tabl. zawiera 5 mg nebiwololu (w postaci nebiwololu chlorowodorku: 2,5 mg d-nebiwololu i 2,5 mg 1-nebiwololu) oraz 12,5 mg lub 25 mg hydrochlorotiazydu.
Neo-Pancreatinum Forte | 3087786	1 kaps. zawiera pankreatynę o aktywności enzymatycznej: lipazy - 10000 j. Ph.Eur., amylazy - 8000 j. Ph.Eur. i proteazy - 500 j. Ph.Eur.
